,SB,DT,DB,ASP,TC,LT,VB,PC,GB,PC_S1,SB_M1,ASP_S1,ASP_S2,ASP_S3
Dlip2,0.0810286268801552,0.0711030082041932,0.178631995477671,0.0695970695970696,0.064516129032258,0.1183800623052959,0.2576687116564417,0.1769856160100062,0.0694444444444444,316.0,8.83733361685472,1049.5441259464487,323.82684936989654,46.935336250000006
atms,0.1494420184376516,0.0875113947128532,0.1899378179762577,0.1538461538461538,0.0908004778972521,0.1152647975077881,0.1738241308793456,0.2082551594746716,0.0555555555555555,547.75,9.884421944335765,4116.681615810437,710.5996095989419,107.67807625
cno,0.3760310528869481,0.2657247037374658,0.4646693046919163,0.5970695970695971,0.4026284348864994,0.3956386292834891,0.4703476482617587,0.4221388367729831,1.0694444444444444,267.0,9.156105709559537,6286.898427939516,741.9416480863277,10.692173
CG14664,0.0004852013585638,0.0004557885141294,0.0,0.0,0.0,0.0342679127725856,0.0,0.0,0.0555555555555555,157.75,8.378887623700285,2.6394049909180968,8.755358995012081,25.930231000000003
CG12173,0.2115477923338185,0.1654512306289881,0.2696438665912945,0.1465201465201465,0.1768219832735962,0.0841121495327102,0.3292433537832311,0.2532833020637898,0.0833333333333333,400.5,11.8926930374215,3446.375311636597,457.03415308263726,156.83660550000002
CG1172,0.0664725861232411,0.0382862351868732,0.0870548332391181,0.0695970695970696,0.046594982078853,0.0560747663551401,0.0777096114519427,0.089430894308943,0.125,281.0,10.19729244787615,2020.4644669275067,517.2131245907808,36.554207250000005
mRpL44,0.2654051431344008,0.1262534184138559,0.399095534200113,0.358974358974359,0.1756272401433691,0.1962616822429906,0.3374233128834356,0.5709818636647905,0.0972222222222222,358.25,12.20258789983845,2026.5325366298464,367.548083962595,55.76595875
CG2519,0.1441048034934497,0.1239744758432087,0.2351611079706048,0.1978021978021978,0.1242532855436081,0.2429906542056074,0.1697341513292433,0.2470293933708567,0.25,362.5,10.93920209164685,5749.34043647421,943.6352313068448,20.63541125
Pi4KIIalpha,0.049490538573508,0.0287146763901549,0.0537026568682871,0.0476190476190476,0.031063321385902,0.0404984423676012,0.0449897750511247,0.056910569105691,0.1666666666666666,248.75,9.005187937028746,1348.42911343598,243.9371128454825,13.637173
CG2926,0.3668122270742358,0.2365542388331814,0.4923685698134539,0.4395604395604395,0.2759856630824372,0.4018691588785046,0.4008179959100204,0.4096310193871169,0.3472222222222222,349.25,9.567601868609684,13724.099606508733,1636.120413150605,30.28347275
Rga,0.3187772925764192,0.2652689152233364,0.4177501413227812,0.336996336996337,0.2413381123058542,0.5109034267912772,0.3476482617586912,0.4803001876172608,0.7777777777777778,266.25,11.2425356358356,5599.778773632269,847.3599559566543,109.737198
CG2100,0.0868510431829209,0.0451230628988149,0.1034482758620689,0.0842490842490842,0.044205495818399,0.0467289719626168,0.1022494887525562,0.0619136960600375,0.0277777777777777,306.5,10.91843465066325,2754.3477908541404,282.0080255105975,47.63936425
Madm,0.0955846676370693,0.0692798541476754,0.1447145279819106,0.1135531135531135,0.080047789725209,0.0809968847352024,0.1513292433537832,0.1851156973108192,0.0833333333333333,183.75,9.274938993836807,5377.164539864007,828.2237626957275,49.5008745
dgrn,0.0164968461911693,0.0173199635369188,0.0254381006218202,0.0073260073260073,0.003584229390681,0.0155763239875389,0.0347648261758691,0.0175109443402126,0.0138888888888888,217.0,10.6796452123685,1524.3118112069867,338.670380783938,22.887257
CG2017,0.0771470160116448,0.0382862351868732,0.0684002261164499,0.1062271062271062,0.037037037037037,0.0934579439252336,0.0613496932515337,0.0838023764853033,0.1111111111111111,212.75,9.74139440277883,1767.0221205513633,193.906892640601,24.98034925
CG42724,0.2751091703056768,0.1978122151321786,0.3753533069530808,0.293040293040293,0.2317801672640382,0.2554517133956386,0.3619631901840491,0.3896185115697311,0.0833333333333333,269.25,9.365771403436437,8610.646095792446,1206.5601199712305,65.01616349999999
Dmtn,0.1809801067442988,0.2734731084776663,0.4612775579423403,0.0659340659340659,0.1553166069295101,0.7320872274143302,0.1574642126789366,0.316447779862414,2.9444444444444446,308.5,9.868721450082084,2214.42523045903,240.3211973136457,23.116435
Taf1,0.098981077147016,0.0660893345487693,0.1181458451102317,0.0805860805860805,0.086021505376344,0.087227414330218,0.1656441717791411,0.1269543464665415,0.0694444444444444,158.5,10.66978169396235,6273.143496223162,701.3799622577128,14.81361
CG1965,0.0912178554099951,0.0752051048313582,0.1192764273600904,0.0695970695970696,0.076463560334528,0.0747663551401869,0.0736196319018405,0.1044402751719824,0.0555555555555555,169.0,10.338392562355551,2368.6622028336733,341.5155161140645,20.8720145
sas,0.7836001940805434,0.3012762078395624,0.2781232334652346,0.1135531135531135,0.9414575866188768,0.1246105919003115,0.1758691206543967,0.2895559724828017,0.3055555555555556,213.5,12.566469943936,6080.84222814408,596.4857186114705,18.298268
CG10055,0.0426977195536147,0.0214220601640838,0.0548332391181458,0.0915750915750915,0.025089605734767,0.0311526479750778,0.0388548057259713,0.0600375234521576,0.0416666666666666,332.75,8.69282853692004,1669.4740425517036,271.70044368517324,17.76322225
CG10053,0.1145075206210577,0.0583409298085688,0.1464104013566987,0.1428571428571428,0.089605734767025,0.1183800623052959,0.1165644171779141,0.1507191994996873,0.0138888888888888,242.75,9.865100925734223,715.533657624081,142.67579956881525,31.9087425
CG9839,0.0179524502668607,0.0232452142206016,0.0186546071226681,0.0256410256410256,0.010752688172043,0.0124610591900311,0.0286298568507157,0.0181363352095059,0.0,214.0,8.98248949020697,4083.2112908547674,860.4273197416068,85.89757949999999
CG11970,0.0208636584182435,0.0086599817684594,0.0260033917467495,0.0256410256410256,0.021505376344086,0.0031152647975077,0.0122699386503067,0.0181363352095059,0.0,268.0,9.552100059518237,2903.76198008588,493.2848713814087,9.06325375
CG11975,0.0524017467248908,0.0382862351868732,0.0746184284906727,0.0622710622710622,0.03584229390681,0.0591900311526479,0.0613496932515337,0.0612883051907442,0.0972222222222222,411.25,8.74376323832377,3052.620404341103,540.996490935208,82.15279375
Kcmf1,0.1203299369238233,0.0715587967183227,0.1464104013566987,0.1611721611721611,0.0884109916367981,0.1059190031152648,0.1042944785276073,0.1638524077548467,0.1111111111111111,258.5,11.7682975480616,4700.817826038247,868.1848146331827,79.28978375
Nmdmc,0.1096555070354197,0.0633546034639927,0.115319389485585,0.0476190476190476,0.1338112305854241,0.0778816199376947,0.1104294478527607,0.1357098186366479,0.1111111111111111,382.5,11.3641524631505,4212.894611283967,702.4053483113478,115.8947515
beag,0.0810286268801552,0.056517775752051,0.110231769361221,0.0769230769230769,0.054958183990442,0.0841121495327102,0.0961145194274028,0.1375859912445278,0.125,246.0,9.25579438985363,2075.81714670652,422.9496728023495,36.365415
RhoL,0.1227559437166424,0.1144029170464904,0.180327868852459,0.0183150183150183,0.057347670250896,0.3333333333333333,0.2126789366053169,0.8755472170106317,0.3888888888888889,509.75,10.8470559555303,1203.9310428603897,309.7295601062152,52.36479525
CG8149,0.3740902474526928,0.2023701002734731,0.4550593555681176,0.5091575091575091,0.2186379928315412,0.2180685358255451,0.3701431492842535,0.5465916197623515,0.1805555555555555,261.0,12.28020649829765,2879.0751571692567,330.623381116918,67.269361
RnpS1,0.3692382338670548,0.2174111212397447,0.4788015828151498,0.4139194139194139,0.2317801672640382,0.1495327102803738,0.4192229038854805,0.4953095684803001,0.0694444444444444,381.0,11.26086848425685,6025.54334640691,735.9382790997965,161.72976025
CG9386,0.0397865114022319,0.0337283500455788,0.0638778971170152,0.0256410256410256,0.029868578255675,0.0373831775700934,0.0981595092024539,0.0606629143214509,0.0,248.5,10.22322239927195,1400.26912575071,213.41675224824377,21.8003085
CG9393,0.0577389616690926,0.0300820419325433,0.0593555681175805,0.0549450549450549,0.03584229390681,0.0591900311526479,0.0613496932515337,0.0969355847404628,0.0138888888888888,207.5,10.1967474102118,1350.614403680927,323.59487704401124,33.25593025
CG8312,0.1392527899078117,0.1467639015496809,0.7286602600339175,0.315018315018315,0.6403823178016727,1.074766355140187,0.6952965235173824,1.283927454659162,0.2222222222222222,467.0,9.42291796457463,2327.0446108518704,811.5254048582251,18.981679
dmt,0.0349344978165938,0.0410209662716499,0.0395703787450537,0.0366300366300366,0.031063321385902,0.043613707165109,0.0306748466257668,0.016260162601626,0.0,154.5,8.9952062831146,3356.7907048112265,683.3210641099982,34.99032425
PpD3,0.1615720524017467,0.0888787602552415,0.1763708309779536,0.1391941391941392,0.1457586618876941,0.1619937694704049,0.16359918200409,0.190744215134459,0.0555555555555555,588.75,10.8358946196569,3256.580862915124,664.2352297229401,40.627362
MED6,0.1465308102862688,0.1144029170464904,0.1848501978518937,0.1941391941391941,0.1350059737156511,0.0965732087227414,0.2453987730061349,0.1951219512195122,0.0694444444444444,349.25,10.7707144530357,3336.46082320135,719.9127279273642,68.25330100000001
FBXO11,0.2110625909752547,0.2210574293527803,0.328999434708875,0.1904761904761904,0.1553166069295101,0.35202492211838,0.2433537832310838,0.2995622263914946,0.8194444444444444,197.25,9.859360021866143,9701.939204472255,1298.6885178897874,44.2186885
Art4,0.0460941290635613,0.0250683682771194,0.0503109101187111,0.0622710622710622,0.021505376344086,0.0311526479750778,0.0613496932515337,0.0450281425891182,0.0,154.5,10.71842827014305,8837.533872065751,1466.2541528594325,76.79644300000001
CG3909,0.1183891314895681,0.0747493163172288,0.1401921989824759,0.1172161172161172,0.1099163679808841,0.1059190031152648,0.1349693251533742,0.1626016260162601,0.0416666666666666,351.25,11.64207034372015,3376.3965636999733,477.962011053834,87.48707200000001
Rrp46,0.1106259097525473,0.0797629899726526,0.1254946297343131,0.1098901098901098,0.087216248506571,0.0373831775700934,0.2331288343558282,0.1801125703564728,0.0138888888888888,224.25,10.005483472474143,2538.7791866716834,442.57802538555154,123.95216925
TfIIFbeta,0.1834061135371179,0.1071103008204193,0.2396834369700395,0.1904761904761904,0.1457586618876941,0.1370716510903426,0.2494887525562372,0.2976860537836147,0.125,454.0,12.12985480634755,2128.886253260777,332.74300200016074,55.0572445
Mcm5,0.0208636584182435,0.0200546946216955,0.0146975692481628,0.0036630036630036,0.016726403823178,0.0,0.0081799591002045,0.0150093808630394,0.0,225.5,10.72559389962945,6326.387355051594,778.2403571956215,52.13742825
mRpL40,0.2057253760310529,0.1253418413855971,0.2752967778405879,0.2454212454212454,0.1242532855436081,0.1152647975077881,0.2678936605316973,0.300187617260788,0.0694444444444444,235.75,11.03668957852185,745.416775782283,113.17460947772628,44.50374825
fabp,3.7282872392042696,1.5920692798541476,5.071791972866026,5.981684981684982,3.3309438470728794,29.51713395638629,7.229038854805726,4.682926829268292,1.5416666666666667,504.75,13.4150612925849,5494.231119321651,346.0335280611052,350.67057725
wkd,0.1615720524017467,0.0815861440291704,0.1560203504804974,0.2234432234432234,0.1135005973715651,0.1059190031152648,0.1267893660531697,0.1994996873045653,0.1111111111111111,283.75,10.411264243105,1910.14560971968,299.93506039729874,38.29521025
