"","X25.C.1","X25.C.2","X25.C.3","X25.C.4"
"CG8219",2.68649878156651,11.5286477261298,5.88632042188838,6.48998447928695
"CG8223",28.8798619018399,33.0487901482389,46.436527772675,56.2465321538202
"CG8229",132.31006499215,86.8491462035114,49.0526701824031,138.453002224788
"CG8230",1147.1349797289,1119.81598246474,604.982932249639,1085.2696268141
"CG8236",0,0,0,16.5855158915111
"CG8237",275.366125110567,234.415837097973,247.879493321744,255.272722851953
"CG8243",1010.12354186901,768.576515075323,725.979518699567,700.197214376403
"CG8248",0,13.0658007562805,0,0
"CG8252",0,0,11.7726408437768,0
"CG8270",150.443931767724,235.952990128124,216.485784405006,87.9753451636675
"CG8272",85.2963363147366,194.449858314057,172.665399042059,149.2696430236
"CG8281",249.172761990294,142.95523180401,334.866228445205,246.619410212904
"CG8289",1728.09034124266,1575.58185590441,2895.41561196665,2138.08933123176
"CG8298",157.160178721641,120.666512866826,7.19439162675246,134.847455291851
"CG8300",835.501121067184,464.220215105495,882.948063283257,684.332807871479
"CG8301",32.2379853787981,0,0,0
"CG8303",188.726539405047,294.364805273849,200.134894344205,170.181815234636
"CG8306",2585.75507725776,2898.30203834904,2298.2811069462,2936.35742218405
"CG8311",745.503411884706,863.111426429587,746.25462237496,478.095523307472
"CG8312",689.086937471809,1232.02815366574,714.20687785579,610.779650439561
"CG8314",408.347814798109,295.133381788924,663.192100866091,586.261931295588
"CG8319",144.3993095092,26.9001780276363,117.726408437768,54.8043133806453
"CG8320",320.364979701806,349.702314359272,301.510412721171,307.192598686249
"CG8321",75.8935905792538,126.046548472353,153.044330969098,100.955314122241
"CG8323",62.4610966714213,19.2144128768831,52.9768837969954,38.2187974891343
"CG8326",213.576653134537,196.755587859283,201.442965549069,59.8520790867574
"CG8336",306.260861098582,227.498648462295,332.904121637909,206.958393950595
"CG8353",20.1487408617488,51.4946265100466,92.2190199429179,64.8998447928695
"CG8360",107.45995126266,202.904199979885,134.731334101001,64.178735406282
"CG8366",415.735686447417,249.78736739948,251.149671333904,192.536206218846
"CG8369",35.5961088557562,56.1060856004985,20.2751036753933,25.9599379171478
"CG8370",303.574362317015,85.3119931733608,285.15952266037,170.902924621223
"CG8372",815.352380205435,806.236764314013,1043.84082148154,996.57317226384
"CG8379",282.753996759875,179.07832801255,263.576347780113,234.360550640918
"CG8388",122.907319256668,67.6347333266284,62.133382231044,253.830504078778
"CG8389",294.843241276924,405.039823444695,317.861302781972,238.687206960442
"CG8397",326.409601960331,474.980286316549,557.892368874532,291.328192181325
"CG8399",899.305467129388,729.379112806481,776.340260086834,1206.41600376079
"CG8405",721.996547545999,659.438649934627,758.681298821169,659.093979340919
"CG8407",13.4324939078325,0,9.15649843404859,3.60554693293719
"CG8412",205.517156789838,333.56220754269,120.996586449928,362.718021453482
"CG8414",368.050333074611,110.675018170846,216.485784405006,37.4976881025468
"CG8419",0,0,73.9060230748208,0
"CG8420",134.996563773717,234.415837097973,293.007949889555,361.996912066894
"CG8435",128.280316819801,172.161139376872,268.808632599569,118.26193940034
"CG8441",364.692209597653,294.364805273849,502.299342667808,261.76270733124
"CG8460",1458.09721369522,1275.06843850996,1899.31938946265,1551.82739993617
"CG8461",216.934776611495,114.517900746223,94.181126750214,173.066252780985
"CG8468",1394.96449232841,1514.86431121346,1349.2754478173,1794.12015382955
"CG8475",632.670463058912,947.654843087873,695.239845385261,747.790433891174
"CG8476",15.4473679940074,17.6772598467324,0,8.65331263904926
"CG8478",664.236823742319,197.524164374358,415.312607544347,496.123257972158
"CG8483",27.5366125110567,0.768576515075323,35.9719581337623,3.60554693293719
"CG8485",492.972526417454,985.315092326563,417.928749954075,838.650216601191
"CG8490",212.233403743754,112.212171200997,45.1284565678109,157.201846276062
"CG8500",346.558342822079,43.8088613592934,103.337625184263,118.26193940034
"CG8501",153.802055244683,85.3119931733608,21.5831748802574,31.0077036232599
"CG8507",1196.83520718788,1461.83253167326,1748.89120090328,1218.67486333277
"CG8508",0,14.6029537864311,15.696854458369,0
"CG8516",642.744833489787,514.946265100466,788.112900930611,923.020014831922
"CG8517",76.5652152746454,6.9171886356779,17.6589612656651,16.5855158915111
"CG8519",3.35812347695813,0,0,0
"CG8520",200.815783922096,354.313773449724,220.409998019598,289.164864021563
"CG8531",1338.54801791551,1316.57157032403,1221.73850534305,1411.93217893821
"CG8539",6.71624695391627,0.768576515075323,0,5.76887509269951
"CG8545",1768.38782296615,1856.88086042198,1410.10075884348,1303.0446615635
"CG8547",1581.00453295189,1836.12929451495,1817.56493915864,2042.18178281563
"CG8549",321.036604397198,125.277971957278,194.248573922316,224.986128615281
"CG8560",0,0,21.5831748802574,0
"CG8562",0,0,0,14.4221877317488
"CG8564",65.8192201483794,14.6029537864311,19.6210680729613,0
"CG8565",0,0,0,23.7966097573855
"CG8569",118.877571084318,188.301246193454,205.367179163661,228.591675548218
"CG8578",494.315775808237,614.092635545183,501.645307065376,388.677959370629
"CG8607",117.534321693535,31.5116371180882,73.2519874723887,53.3620946074705
"CG8611",903.335215301738,727.073383261255,627.87417833476,537.947602394229
"CG8613",427.824930964466,275.918968912041,591.248184598566,517.035430183194
"CG8617",142.384435423025,165.243950741194,220.409998019598,171.62403400781
"CG8620",0,0,0,0
"CG8630",302.902737621624,310.50491209043,812.966253823028,768.70260610221
"CG8635",1063.85351750034,907.688864303956,714.860913458222,776.634809354672
"CG8646",0,0,0,0
"CG8654",43.6556052004557,93.7663348391893,17.6589612656651,0
"CG8661",0,0,6.54035602432042,0
"CG8665",14.1041186032242,0,0,4.32665631952463
"CG8668",275.366125110567,391.205446173339,411.388393929754,265.368254264177
"CG8671",863.709358273632,785.48519840698,552.660084055075,1012.43757876876
"CG8675",264.620129984301,295.901958303999,120.342550847496,199.747300084721
"CG8677",656.177327397619,825.451177190896,635.722605563945,951.864390295419
"CG8679",24.1784890340986,29.9744840879376,41.2042429532186,134.126345905264
"CG8701",65.1475954529878,25.3630249974856,48.3986345799711,10.0955314122241
"CG8708",0,0,0,0
"CG8712",87.3112104009115,123.740818927127,127.536942474248,33.8921411696096
"CG8726",430.511429746033,536.466407522575,769.145868460081,482.422179626997
"CG8728",791.173891171336,628.695589331614,784.84272291845,925.904452378271
"CG8738",6.04462225852464,27.6687545427116,0,0
"CG8740",196.114411054355,370.453880266305,453.900708087837,381.466865504755
"CG8745",22.8352396433153,25.3630249974856,15.042818855937,18.027734664686
"CG8746",11.4176198216577,0,0,0
"CG8750",0.671624695391627,0,7.8484272291845,2.16332815976232
"CG8765",143.727684813808,357.388079510025,383.918898627609,294.212629727675
"CG8768",122.907319256668,76.8576515075323,81.7544503040052,72.8320480453313
"CG8773",0,0,0,0
"CG8777",168.577798543298,302.050570424602,422.506999171099,366.323568386419
"CG8778",196.786035749747,378.908221932134,159.584686993418,130.520798972326
"CG8785",0.671624695391627,0,0,0
"CG8800",24.8501137294902,13.0658007562805,0,48.3143289013584
"CG8813",6.71624695391627,0,0,0
"CG8814",302.231112926232,415.799894655749,507.531627487265,451.414476003737
"CG8818",1204.22307883719,1245.09395442202,1076.54260160314,1308.8135366562
"CG8833",224.322648260803,92.2291818090387,190.324360307724,137.731892838201
"CG8839",1039.00340377085,1284.29135669086,1361.04808866108,1328.28349009406
"CG8840",7.38787164930789,7.68576515075322,0,0
"CG8841",186.040040623481,94.5349113542647,289.737771877395,227.870566161631
"CG8854",0,2.30572954522597,0,0.721109386587439
"CG8858",631.998838363521,367.379574206004,620.025751105576,574.724181110189
"CG8860",128.280316819801,121.435089381901,170.703292234763,147.106314863837
"CG8878",922.812331468095,1000.68662262807,829.317143883829,1135.74728387522
"CG8888",90.6693338778696,122.203665896976,792.037114545203,334.594755376572
"CG8891",719.981673459824,713.239005989899,616.755573093416,551.648680739391
"CG8892",212.233403743754,132.195160592955,200.134894344205,232.197222481155
"CG8908",0,61.4861212060258,0.654035602432042,0
"CG8915",485.584654768146,66.0975802964777,0,82.9275794575555
"CG8924",810.651007337693,846.20274309793,599.096611827751,402.379037715791
"CG8925",19.4771161663572,212.895694675864,26.8154596997137,31.0077036232599
"CG8927",0,16.9086833316571,0,10.0955314122241
"CG8929",2688.51365565268,2633.91171716313,2867.29208106207,2233.2757702613
"CG8939",1059.1521446326,1020.66961202003,882.294027680825,961.959921707643
"CG8944",272.679626329,779.336586286377,432.31753320758,299.260395433787
"CG8950",517.151015451553,184.458363618077,259.652134165521,314.403692552123
"CG8963",1252.58005690538,1580.19331499486,1260.32660588654,1366.5022875832
"CG8974",1025.57090986301,1218.96235290946,797.923434967091,898.502295687949
"CG8993",233.725393996286,317.422100726108,277.311095431186,287.001535861801
"CG8997",0,0,13.7347476510729,0.721109386587439
"CG9003",107.45995126266,275.918968912041,466.981420136478,453.577804163499
"CG9004",134.996563773717,401.965517384394,157.622580186122,238.687206960442
"CG9005",332.454224218855,471.905980256248,153.044330969098,280.511551382514
"CG9008",49.0286027635887,28.4373310577869,106.607803196423,350.459161881495
"CG9014",17.4622420801823,0,0,0
"CG9016",41.6407311142809,15.3715303015064,0.654035602432042,11.537750185399
"CG9018",273.351251024392,146.798114379387,193.594538319884,180.27734664686
"CG9021",2.68649878156651,0,0,5.04776570611207
"CG9029",0,0,0,7.21109386587439
"CG9034",280.7391226737,330.487901482389,286.467593865234,272.579348130052
"CG9044",567.522867605924,391.205446173339,303.472519528468,175.950690327335
"CG9062",562.821494738183,1153.63334912806,1007.21482774534,1027.5808758871
"CG9065",151.115556463116,191.375552253755,154.352402173962,123.309705106452
"CG9067",151.115556463116,171.392562861797,218.447891212302,106.724189214941
"CG9084",0,0,0,10.8166407988116
"CG9095",360.662461425304,1226.64811806021,315.899195974676,420.406772380477
"CG9101",0,0,12.4266764462088,0
"CG9107",816.695629596218,587.961034032622,529.114802367522,605.731884733449
"CG9109",0,0,0,0
"CG9114",380.139577591661,209.821388615563,260.306169767953,387.235740597455
"CG9117",46.3421039820222,28.4373310577869,43.1663497605148,35.3343599427845
"CG9119",15.4473679940074,10.7600712110545,28.1235309045778,11.537750185399
"CG9121",9.40274573548277,29.9744840879376,0,9.3744220256367
"CG9123",318.350105615631,237.490143158275,87.6407707258936,50.4776570611207
"CG9125",721.996547545999,425.791389351729,359.719581337623,553.812008899153
"CG9132",726.026295718348,615.629788575333,825.392930269237,894.896748755012
"CG9135",3775.87403749173,3387.11670193695,4717.55880034232,4219.2110209231
"CG9143",1409.74023562702,714.007582504975,1090.93138485665,871.100138997626
"CG9147",321.036604397198,277.456121942191,227.604389646351,294.933739114262
"CG9149",561.4782453474,431.940001472331,333.558157240341,505.497679997795
"CG9154",124.922193342843,263.621744670836,160.892758198282,195.420643765196
"CG9168",0,0,0,15.8644065049237
"CG9170",46.3421039820222,259.010285580384,80.4463790991412,94.4653296429545
"CG9171",310.290609270931,318.959253756259,249.84160012904,275.463785676402
"CG9173",19.4771161663572,0,0,25.9599379171478
"CG9175",163.876425675557,234.415837097973,304.1265551309,372.092443479118
"CG9184",4.02974817234976,9.22291818090387,0,2.16332815976232
