"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","diff.pct","gene"
"CG8635",9.39451432859664e-07,0.440001837293562,0.532,0.402,0.0104908541507439,0.13,"CG8635"
"fng",9.61449098822924e-07,0.702131015411821,0.24,0.136,0.0107365020865556,0.104,"fng"
"CG9776",9.81362455556638e-07,0.644513287970709,0.321,0.206,0.010958874541201,0.115,"CG9776"
"kune",9.98245490778915e-07,-0.703975515613124,0.223,0.344,0.0111474073955281,-0.121,"kune"
"RASSF8",1.00880863110071e-06,0.549447328476405,0.4,0.271,0.0112653659835017,0.129,"RASSF8"
"cher",1.1244408043481e-06,0.735325764510871,0.299,0.19,0.0125566304621553,0.109,"cher"
"EMRE",1.16714811950714e-06,-0.641846808851275,0.265,0.383,0.0130335430505362,-0.118,"EMRE"
"lncRNA:CR31044",1.16755934726021e-06,0.493368256426817,0.485,0.381,0.0130381352308548,0.104,"lncRNA:CR31044"
"Gale",1.2165519926711e-06,0.679504196646095,0.277,0.169,0.0135852361021582,0.108,"Gale"
"Mcr",1.24756481424777e-06,0.619683102992504,0.294,0.179,0.0139315562807048,0.115,"Mcr"
"La",1.26414080906036e-06,-0.857084544534503,0.189,0.296,0.014116660414777,-0.107,"La"
"CRAT",1.34854000236499e-06,0.684985415697827,0.282,0.174,0.0150591462064098,0.108,"CRAT"
"bonsai",1.46287040245318e-06,-0.938683293653451,0.137,0.245,0.0163358737841947,-0.108,"bonsai"
"E(bx)",1.47821961049259e-06,0.648978729600291,0.321,0.21,0.0165072783903708,0.111,"E(bx)"
"ct",1.48373541288126e-06,-0.761452538934965,0.208,0.326,0.016568873355645,-0.118,"ct"
"CG41378",1.51100162605913e-06,-0.85688873596405,0.176,0.286,0.0168733551582023,-0.11,"CG41378"
"trol",1.5290033826214e-06,0.715069216628874,0.294,0.186,0.0170743807737331,0.108,"trol"
"dally",1.56272239498652e-06,0.518003375125441,0.431,0.298,0.0174509209848144,0.133,"dally"
"grh",1.61288130454669e-06,0.62942613125143,0.279,0.169,0.0180110455278729,0.11,"grh"
"AIMP2",1.66062019602168e-06,0.501103269847049,0.444,0.313,0.0185441457289741,0.131,"AIMP2"
"numb",1.74950853380533e-06,0.582423984633206,0.355,0.237,0.0195367617970041,0.118,"numb"
"Spn77Ba",1.76693115704411e-06,0.58999218965049,0.324,0.207,0.0197313202307116,0.117,"Spn77Ba"
"sli",1.87814538942517e-06,0.666006967701716,0.292,0.183,0.0209732495637108,0.109,"sli"
"Xe7",2.02154892764436e-06,0.624272930166467,0.306,0.195,0.0225746368750045,0.111,"Xe7"
"VhaSFD",2.14091926424225e-06,0.608475347404826,0.304,0.191,0.0239076454237932,0.113,"VhaSFD"
"Uggt",2.16955179128498e-06,0.402601394250463,0.569,0.45,0.0242273848532794,0.119,"Uggt"
"mbc",2.21141112598832e-06,0.516288077451911,0.377,0.251,0.0246948280439116,0.126,"mbc"
"Stt3A",2.25737920833105e-06,-0.461438102430663,0.414,0.52,0.0252081536194328,-0.106,"Stt3A"
"Duox",2.30060136376249e-06,0.68596623388296,0.272,0.168,0.0256908154291357,0.104,"Duox"
"prel",2.30102730945942e-06,-1.01488602207832,0.12,0.221,0.0256955719647333,-0.101,"prel"
"Vps24",2.33857360027058e-06,-0.577812872175702,0.321,0.425,0.0261148513942216,-0.104,"Vps24"
"mRpL27",2.34449925799467e-06,-0.597568210650658,0.319,0.42,0.0261810232140265,-0.101,"mRpL27"
"CG9804",2.35560972194128e-06,-0.988776945644502,0.118,0.22,0.0263050937649183,-0.102,"CG9804"
"mRpL24",2.39940220225152e-06,-0.901600028659195,0.154,0.259,0.0267941243925427,-0.105,"mRpL24"
"lncRNA:CR43496",2.42986413714609e-06,-1.00686785529128,0.113,0.214,0.0271342928195104,-0.101,"lncRNA:CR43496"
"ab",2.60558101530105e-06,0.433574108835796,0.48,0.338,0.0290965231978669,0.142,"ab"
"CG6026",2.66186220525506e-06,0.523035506889694,0.439,0.318,0.0297250152460833,0.121,"CG6026"
"P32",2.73487464364996e-06,-0.852223617358084,0.164,0.271,0.0305403451456391,-0.107,"P32"
"Cbp20",2.86376726857624e-06,0.53430102114131,0.39,0.27,0.0319796890881909,0.12,"Cbp20"
"Fur1",2.89045446734761e-06,0.660019541371278,0.252,0.15,0.0322777050368707,0.102,"Fur1"
"mRpS5",2.92275329771829e-06,-0.802344346814212,0.189,0.295,0.0326383860756202,-0.106,"mRpS5"
"mav",2.94469194213305e-06,-0.791753917913359,0.167,0.278,0.0328833749177997,-0.111,"mav"
"Prp19",2.968718982057e-06,0.675444589127332,0.289,0.186,0.0331516848726305,0.103,"Prp19"
"fzr",3.18123778114637e-06,0.546534141602286,0.324,0.206,0.0355248823020616,0.118,"fzr"
"IscU",3.19374862538145e-06,-0.535792768227803,0.338,0.451,0.0356645908996347,-0.113,"IscU"
"CG5934",3.35042355804131e-06,-0.663017086101934,0.265,0.367,0.0374141798726473,-0.102,"CG5934"
