"","ASP","DB","DT","SB","PC","TC","VB","LT","GB"
"Xbp1_extended",-0.876402148744636,-0.517677110687975,-0.050181407769199,-0.402938999447224,1.03692332586274,-0.0945760681682011,-0.337064554321737,0.206993263055943,1.03492370022028
"Xbp1",-0.868591661614565,-0.474990861006118,0.046189457526767,-0.40046225479891,0.95106293076814,-0.0368276032723434,-0.216869042458528,0.195894894540264,0.80459414031528
"E2f2_extended",1.65241338131865,-0.431919521659351,0.0700451231568799,-0.215734511937291,-0.582526057642175,0.134013182351738,-0.348754869985426,0.00963864747739498,-0.28717537308041
"Dp_extended",0.03123859285369,0.580854945899914,-0.28550056742783,0.158501603139359,0.209164727178629,0.50455540443453,0.064836453001418,0.903663505491519,-2.16731466457122
"Dp",0.0103756095305598,0.537553356429265,-0.26210606682123,0.18134198223839,0.243470804373164,0.52062517537143,0.084686196300064,0.862136349461394,-2.17808340688304
"Usf_extended",-2.2302263307082,1.30093512307974,-0.924886251378943,0.867257134454853,0.660535273408819,-0.91224828104357,1.16121333293823,-0.30280929019621,0.380229289445278
"Zif",1.49187651721873,-0.019714035546455,0.264914398437342,-0.137098012142179,-0.00286670630293795,-0.188767157624784,-0.28921547312321,-1.04964432213986,-0.06948520877665
"Dref_extended",-0.438650022285622,1.01016132696382,-1.55046434011723,-0.783330010959478,0.0301371620366,-1.03801418288536,0.453618990231273,1.5255193766326,0.791021700383402
"Dref",-0.427710282236967,0.96076239064007,-1.56899828240255,-0.754505324896895,-0.01627886049436,-1.01393650794797,0.452911617988853,1.51313421825372,0.854621031096108
"Stat92E_extended",2.21772080436968,1.19439770036082,0.22479240977508,0.69317284709471,-0.691985707534369,0.292618765614748,0.362938822320623,0.389506661175825,-4.68316230317712
"EcR_extended",2.75547244365784,-0.319935276236142,0.133267072495304,-0.223153504029932,-1.12476009634169,1.71494754541001,-0.334714871042429,-0.065332861719991,-2.53579045219296
"Rel_extended",0.120102850491024,-0.204513728053975,-0.660095851107606,0.19461120342392,-0.585714427421957,0.118027141517933,1.2229143863789,0.698464282217436,-0.90379585744568
"Rel",0.092421317601888,-0.214011111824131,-0.656689612381013,0.188917674899721,-0.585965914936563,0.078927331084087,1.27039566782537,0.817909220257277,-0.99190457252663
"Myc_extended",0.516540592790895,-1.40816032768711,0.379446391737408,-0.23144209027622,1.30308952169697,0.467281418541365,-1.70222345064423,-1.09950116840064,1.77496911224157
"Myc",0.716494996005079,-1.40720028389636,0.238062758233393,-0.30119219656469,1.28336138794001,0.474327271573132,-1.5812789646571,-1.07380479947982,1.65122983084635
"BEAF-32_extended",-0.0388885474398332,-1.47870056682809,2.10724492618147,-0.17914848956501,-1.87810208206477,0.49612051515299,-1.57100905639183,-0.126222510278792,2.66870581123385
"BEAF-32",0.0733901340145596,-1.49987478690158,1.96139607194518,-0.101877515653289,-1.85396876550251,0.588513087168478,-1.63492847123936,-0.136734975471453,2.60408522163998
"tgo_extended",1.6050100731026,-0.85985069533594,-0.239430472078641,-0.134965102311083,1.04963267777092,-0.572115299689817,0.414350617515395,-0.546555509640182,-0.716076289333245
"abd-A_extended",-0.397217107660446,0.517529590572633,-0.1605016355317,0.096271006243315,1.51154881880872,-0.152991351227402,-0.873801094188557,-0.54723460450063,0.0063963774840675
