"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Sb",3.89935340702664e-223,0.535912538013213,0.483,0.186,4.35440794962665e-219,"DT","Sb"
"CG342321",0,0.990668567785459,0.541,0.119,0,"SB","CG34232"
"Antp1",0,0.973741930363956,0.927,0.299,0,"SB","Antp"
"Phk-3",0,0.928236172047598,0.938,0.739,0,"SB","Phk-3"
"CG167981",0,0.918276785641424,0.667,0.17,0,"SB","CG16798"
"CG137371",0,0.777085579913454,0.559,0.15,0,"SB","CG13737"
"Oaz",0,0.731205012155637,0.579,0.049,0,"SB","Oaz"
"ct1",0,0.665505907726393,0.951,0.548,0,"SB","ct"
"Spn100A1",0,0.655519777240429,0.849,0.466,0,"SB","Spn100A"
"Cad88C1",0,0.558570048737409,0.431,0.071,0,"SB","Cad88C"
"mthl1",0,0.517229407450949,0.456,0.094,0,"SB","mthl1"
"qtc1",0,0.508887479702652,0.392,0.07,0,"SB","qtc"
"Cpr47Eb",8.23708781067103e-304,0.651587488010158,0.323,0.046,9.19835595817634e-300,"SB","Cpr47Eb"
"CG17124",1.91946176942028e-287,0.503549300206729,0.681,0.287,2.14346295791163e-283,"SB","CG17124"
"frm",1.59890508943429e-278,0.644686353759776,0.577,0.214,1.78549731337127e-274,"SB","frm"
"CG32354",1.49958245722941e-238,0.559074651558843,0.389,0.101,1.67458372998809e-234,"SB","CG32354"
"CG26631",1.04353041792517e-135,0.643515054132886,0.405,0.183,1.16531041769704e-131,"SB","CG2663"
"Cpr51A",0,1.32407661892837,0.777,0.198,0,"PC","Cpr51A"
"Osi15",0,1.30261363607677,0.772,0.174,0,"PC","Osi15"
"CG7220",0,1.16553398451152,0.865,0.259,0,"PC","CG7220"
"CG120091",0,0.921590560289828,0.971,0.526,0,"PC","CG12009"
"CAH2",0,0.912733742074506,0.866,0.288,0,"PC","CAH2"
"Gasp",0,0.868721427329763,0.985,0.877,0,"PC","Gasp"
"form3",0,0.827245097302319,0.8,0.196,0,"PC","form3"
"lncRNA:CR44811",0,0.818081342467334,0.676,0.05,0,"PC","lncRNA:CR44811"
"CG8854",0,0.816031262497901,0.794,0.226,0,"PC","CG8854"
"sn",0,0.806034290434814,0.989,0.65,0,"PC","sn"
"bs",0,0.798207627753319,0.692,0.068,0,"PC","bs"
"betaTub60D",0,0.783642107038827,0.985,0.773,0,"PC","betaTub60D"
"wun",0,0.751208093279627,0.749,0.264,0,"PC","wun"
"CG30197",0,0.744911175793202,0.725,0.207,0,"PC","CG30197"
"uif",0,0.743475887297102,0.852,0.41,0,"PC","uif"
"CG9782",0,0.723984014025838,0.784,0.241,0,"PC","CG9782"
"mirr",0,0.713888463883618,0.775,0.238,0,"PC","mirr"
"sty",0,0.689043078268683,0.714,0.173,0,"PC","sty"
"btsz",0,0.669543584343359,0.768,0.266,0,"PC","btsz"
"bru2",0,0.666855775906978,0.699,0.133,0,"PC","bru2"
"GLaz",0,0.657756852820963,0.648,0.099,0,"PC","GLaz"
"Rbfox1",0,0.654695067745064,0.864,0.503,0,"PC","Rbfox1"
"peb",0,0.651126396994809,0.874,0.443,0,"PC","peb"
"CG17121",0,0.648511397097059,0.642,0.149,0,"PC","CG17121"
"CG12025",0,0.621415884166032,0.747,0.322,0,"PC","CG12025"
"dpy1",0,0.613299509807514,0.94,0.556,0,"PC","dpy"
"Osi20",0,0.608363831083726,0.31,0.03,0,"PC","Osi20"
"Doa",0,0.608276486659546,0.717,0.223,0,"PC","Doa"
"haf",0,0.602525592547747,0.824,0.398,0,"PC","haf"
"sano",0,0.597854027786088,0.937,0.614,0,"PC","sano"
"path",0,0.590596581629142,0.693,0.249,0,"PC","path"
"stumps",0,0.583219938247264,0.561,0.062,0,"PC","stumps"
"wdp",0,0.571621245870653,0.503,0.073,0,"PC","wdp"
"kni",0,0.56500119310234,0.665,0.175,0,"PC","kni"
"Rcd6",0,0.55196096670611,0.542,0.054,0,"PC","Rcd6"
"CG14132",0,0.532450078976925,0.649,0.187,0,"PC","CG14132"
"shep",0,0.52673789441722,0.984,0.818,0,"PC","shep"
"Sema1a",0,0.522695890191411,0.613,0.169,0,"PC","Sema1a"
"knrl",0,0.503567528314087,0.605,0.166,0,"PC","knrl"
"slgA",1.29035219060594e-307,0.500323816529165,0.614,0.191,1.44093629124966e-303,"PC","slgA"
"CG47021",8.82502080483153e-274,0.606463364445968,0.637,0.216,9.85490073275537e-270,"PC","CG4702"
"ovo",2.57562956681907e-262,0.52319729161743,0.72,0.331,2.87620553726685e-258,"PC","ovo"
"schlank",8.78099846403552e-237,0.502380788642961,0.761,0.416,9.80574098478846e-233,"PC","schlank"
"ImpL1",0,1.69991215418666,0.987,0.334,0,"TC","ImpL1"
"dsx-c73A1",0,1.18405256047386,0.785,0.154,0,"TC","dsx-c73A"
"hui1",0,0.897156303059155,0.999,0.822,0,"TC","hui"
"Gel",0,0.844005343874752,0.601,0.061,0,"TC","Gel"
"CG1368",0,0.809122002894764,0.387,0.037,0,"TC","CG1368"
"Mur89F",0,0.799166847220793,0.578,0.078,0,"TC","Mur89F"
"Scr",0,0.72046987295894,0.636,0.063,0,"TC","Scr"
"ara",0,0.678602061074361,0.648,0.088,0,"TC","ara"
"caup",0,0.669176988943093,0.669,0.123,0,"TC","caup"
"TwdlV",0,0.63532553865342,0.307,0.016,0,"TC","TwdlV"
"CG14107",0,0.584662298233559,0.362,0.026,0,"TC","CG14107"
"CG10205",0,0.543848394312555,0.382,0.01,0,"TC","CG10205"
"m",0,0.53635745193055,0.538,0.078,0,"TC","m"
"ImpE1",1.16642823361148e-306,0.802779047545018,0.999,0.684,1.30255040847395e-302,"TC","ImpE1"
"vir-1",4.57963108936099e-282,0.782026796314981,0.943,0.641,5.11407403748942e-278,"TC","vir-1"
"nyo",4.29147883949315e-265,0.52907419988544,0.523,0.1,4.792294420062e-261,"TC","nyo"
"neo",5.25304628875533e-255,0.649584906569085,0.674,0.197,5.86607679065308e-251,"TC","neo"
"CG13403",1.0686488552497e-241,0.597043336994865,0.274,0.025,1.19336017665734e-237,"TC","CG13403"
"trn1",1.8985971777167e-232,0.649191394908639,0.722,0.233,2.12016346835624e-228,"TC","trn"
"Dl",3.60352189140591e-221,0.657202871567798,0.843,0.381,4.02405289613298e-217,"TC","Dl"
"CG9689",9.82555337219498e-212,0.547556028147478,0.963,0.732,1.09721954507301e-207,"TC","CG9689"
"Cyp18a1",2.7767303939149e-197,0.591996589692825,0.704,0.265,3.10077483088477e-193,"TC","Cyp18a1"
"Dbi",8.20506662509969e-193,0.570692850748588,0.385,0.073,9.16259790024882e-189,"TC","Dbi"
"Spn27A",1.50472477773526e-174,0.578321979737678,0.726,0.324,1.68032615929696e-170,"TC","Spn27A"
"rgn",9.24259446907508e-168,0.550577098592397,0.726,0.306,1.03212052436161e-163,"TC","rgn"
"Phk-31",4.02757727408238e-138,0.629067010477951,0.984,0.762,4.4975955419678e-134,"TC","Phk-3"
"CG47022",1.05933956444317e-127,0.550475733075486,0.626,0.254,1.18296449161368e-123,"TC","CG4702"
"CG316371",3.97696399093804e-122,0.503244883521502,0.558,0.216,4.44107568868051e-118,"TC","CG31637"
"ImpE21",3.41933169647558e-94,0.718808367637837,0.668,0.386,3.81836770545428e-90,"TC","ImpE2"
"CG11370",0,1.66165175418728,0.941,0.235,0,"VB","CG11370"
"Tsf1",0,1.51131527716641,0.918,0.084,0,"VB","Tsf1"
"Gs2",0,1.10902094603251,0.773,0.064,0,"VB","Gs2"
"l(2)34Fc",0,1.10087038795089,0.869,0.126,0,"VB","l(2)34Fc"
"CG13639",0,0.773110720470423,0.708,0.093,0,"VB","CG13639"
"CG15353",2.8038625865224e-276,1.20188383633982,1,0.842,3.13107335036956e-272,"VB","CG15353"
"CG4386",4.53561187671914e-264,0.581528622200168,0.603,0.09,5.06491778273226e-260,"VB","CG4386"
"CG3502",5.64768582343408e-262,0.512056221394819,0.53,0.069,6.30677075902884e-258,"VB","CG3502"
"CG30154",5.67253530275295e-197,0.765753048034956,0.755,0.207,6.33452017258422e-193,"VB","CG30154"
"MFS3",5.16482414700038e-184,0.593477030441371,0.613,0.144,5.76755912495533e-180,"VB","MFS3"
"vvl1",5.50463222158999e-170,0.741293902425442,0.959,0.534,6.14702280184954e-166,"VB","vvl"
"CG3777",1.48933349675269e-165,0.69770842349376,0.82,0.316,1.66313871582373e-161,"VB","CG3777"
"l(2)k05911",2.55301087949781e-165,0.507867621014771,0.642,0.156,2.8509472491352e-161,"VB","l(2)k05911"
"CG2016",6.55308973001514e-160,0.688265134133157,0.986,0.728,7.3178353015079e-156,"VB","CG2016"
"CG112001",3.2237594376731e-145,0.575128612192337,0.679,0.199,3.59997216404955e-141,"VB","CG11200"
"Dl1",5.45200763412701e-141,0.655670906048461,0.879,0.396,6.08825692502963e-137,"VB","Dl"
"CG9095",5.73433439142994e-132,0.621566727935121,0.793,0.319,6.40353121490981e-128,"VB","CG9095"
"SP1029",3.70098947506367e-127,0.555335606940342,0.724,0.262,4.13289494680361e-123,"VB","SP1029"
"CG13252",5.89910696556526e-118,0.532946706445483,0.671,0.24,6.58753274844672e-114,"VB","CG13252"
"CG42342",3.36641693623385e-116,0.598534321069533,0.859,0.463,3.75927779269234e-112,"VB","CG42342"
