,source,target,coef_mean,coef_abs,p,-logp
16606,twi,E(spl)m4-BFM,0.0007954976,0.0007954976,0.0006168759477042785,3.20980216278074
16607,jigr1,E(spl)m4-BFM,0.0014699463,0.0014699463,6.786707026832074e-05,4.168340898322377
16608,sna,E(spl)m4-BFM,0.0020130137,0.0020130137,1.9021797420980467e-10,9.720748447801794
16609,RunxA,E(spl)m5-HLH,2.255554e-06,2.255554e-06,0.57553867264054,0.23992548914956058
16610,ac,E(spl)m5-HLH,0.00020443126,0.00020443126,0.00018365046375263617,3.7360079706404594
16611,peb,E(spl)m5-HLH,-0.00025448148,0.00025448148,9.051940162272636e-08,7.043258325605588
16612,bs,E(spl)m5-HLH,4.4688164e-05,4.4688164e-05,0.05566999626552813,1.2543788078265372
16613,klu,E(spl)m5-HLH,0.00029779394,0.00029779394,0.00019642228165018047,3.7068092484795963
16614,rn,E(spl)m5-HLH,0.00071573845,0.00071573845,2.340283515859836e-15,14.630731526386931
16615,gcm,E(spl)m5-HLH,4.1348976e-05,4.1348976e-05,5.9455803400020284e-05,4.225805748083213
16616,Abd-B,E(spl)m5-HLH,-0.00022079067,0.00022079067,9.402614429127501e-07,6.026751372541432
16617,fd19B,E(spl)m5-HLH,-1.543957e-05,1.543957e-05,0.0004776748816269255,3.320867595345561
16618,ab,E(spl)m5-HLH,0.00020348423,0.00020348423,4.067911958091484e-07,6.390628455092659
16619,gl,E(spl)m5-HLH,1.8103285e-05,1.8103285e-05,0.0010213065520080589,2.9908438819454024
16620,sc,E(spl)m6-BFM,0.00051417394,0.00051417394,0.0038012604307841196,2.4200723751277797
16621,ac,E(spl)m6-BFM,0.001812249,0.001812249,2.6150752051236268e-11,10.58251581704506
16622,RunxA,E(spl)m6-BFM,-0.00028434844,0.00028434844,9.834336455564841e-11,10.007254937565522
16623,Hey,E(spl)m6-BFM,-0.0004046593,0.0004046593,3.1094131387995676e-08,7.50732157066166
16624,bs,E(spl)m6-BFM,0.00033999476,0.00033999476,5.8416648120705444e-08,7.233463365959595
16625,ken,E(spl)m6-BFM,0.00023609053,0.00023609053,0.36864583373430226,0.43339066992967984
16626,E(spl)mdelta-HLH,E(spl)m6-BFM,-2.8264794e-05,2.8264794e-05,0.742938686343962,0.1290470264564437
16627,twi,E(spl)m6-BFM,0.00052030536,0.00052030536,1.0689554217124766e-08,7.9710404056499335
16628,E(spl)m3-HLH,E(spl)m6-BFM,-0.0002600029,0.0002600029,0.012793188487369137,1.8930212014248806
16629,E(spl)m5-HLH,E(spl)m6-BFM,0.0005496884,0.0005496884,2.8877394091728026e-07,6.5394420002521665
16630,E(spl)m8-HLH,E(spl)m6-BFM,0.0018286906,0.0018286906,1.010863685300685e-09,8.995307404956117
16631,E(spl)mbeta-HLH,E(spl)m6-BFM,0.0012975413,0.0012975413,2.9679468642062146e-06,5.527543878591327
16632,fd19B,E(spl)m6-BFM,-5.94653e-05,5.94653e-05,0.00022119686435706642,3.655221033796252
16633,h,E(spl)m6-BFM,0.0013007849,0.0013007849,1.4262593654128023e-07,6.845801490805983
16634,NK7.1,E(spl)m6-BFM,-8.43354e-05,8.43354e-05,0.2176806365359676,0.6621802012739894
16635,E(spl)mgamma-HLH,E(spl)m6-BFM,-0.000984298,0.000984298,0.00017932904798793512,3.74634935706868
16636,sc,E(spl)m7-HLH,0.0041052247,0.0041052247,0.14982417404803935,0.8244181078071329
16637,ac,E(spl)m7-HLH,0.010138452,0.010138452,0.0030169252227967625,2.520435454070686
16638,nub,E(spl)m7-HLH,0.012347881,0.012347881,1.2993182572916313e-07,6.886284459045068
16639,Hey,E(spl)m7-HLH,-0.0031570178,0.0031570178,1.8183623895578116e-05,4.740319560002194
16640,opa,E(spl)m7-HLH,0.0047830995,0.0047830995,0.05499739633586846,1.259657870209948
16641,E(spl)m3-HLH,E(spl)m7-HLH,0.13282242,0.13282242,3.317085852555407e-23,22.479243287959395
16642,E(spl)m8-HLH,E(spl)m7-HLH,0.022448046,0.022448046,9.281418869729163e-09,8.032385627208825
16643,E(spl)mbeta-HLH,E(spl)m7-HLH,0.055802763,0.055802763,2.0102009549850543e-05,4.6967605250279165
16644,slp1,E(spl)m7-HLH,-0.00081550184,0.00081550184,0.09154830659000207,1.0383496846273805
16645,bap,E(spl)m7-HLH,0.0005150326,0.0005150326,0.5716127893121903,0.24289806283142668
16646,fd19B,E(spl)m7-HLH,0.0010258632,0.0010258632,0.16698547121734547,0.7773213135507547
16647,h,E(spl)m7-HLH,-0.019012064,0.019012064,3.193601217689558e-07,6.495719314800365
16648,Sox14,E(spl)m7-HLH,-6.0366874e-05,6.0366874e-05,0.9476193098083326,0.02336609816269388
16649,E(spl)mgamma-HLH,E(spl)m7-HLH,0.0005015279,0.0005015279,0.8267653314458667,0.08261774283022184
16650,dve,E(spl)m7-HLH,-0.0001549806,0.0001549806,0.8726145817181253,0.05917753406429516
16651,E(spl)m7-HLH,E(spl)m8-HLH,0.0038557274,0.0038557274,5.066927656769016e-06,5.295255296319217
16652,RunxA,E(spl)m8-HLH,-0.0006130166,0.0006130166,3.6823442475762368e-09,8.433875613487016
16653,ac,E(spl)m8-HLH,0.0016468087,0.0016468087,0.000405848133829628,3.391636446664618
16654,E(spl)mgamma-HLH,E(spl)m8-HLH,0.0016843703,0.0016843703,0.0016579999363297842,2.7804154904634437
16655,E(spl)mdelta-HLH,E(spl)m8-HLH,0.0021040915,0.0021040915,5.005061493332985e-06,5.300590582310311
16656,Dll,E(spl)m8-HLH,0.0029564297,0.0029564297,1.360212139102243e-12,11.86639335364688
16657,sna,E(spl)m8-HLH,0.0003190527,0.0003190527,0.0003635852810688186,3.4393937065281226
16658,repo,E(spl)m8-HLH,-0.00018785367,0.00018785367,0.25462728356333614,0.5940950631090741
16659,E(spl)m3-HLH,E(spl)m8-HLH,-0.0032974056,0.0032974056,0.00015906824370358458,3.7984165140107375
16660,E(spl)m5-HLH,E(spl)m8-HLH,0.00061330094,0.00061330094,0.006868414772839542,2.1631434863538184
16661,E(spl)mbeta-HLH,E(spl)m8-HLH,-0.00030461067,0.00030461067,0.3349180344945617,0.4750614661639434
16662,bi,E(spl)m8-HLH,0.0061327624,0.0061327624,8.637542644110873e-13,12.063609795472296
16663,h,E(spl)m8-HLH,-0.0018084771,0.0018084771,8.864286668747906e-05,4.0523562074168415
16664,eve,E(spl)m8-HLH,1.25524475e-05,1.25524475e-05,0.5315597858947838,0.27444788217739535
16665,NK7.1,E(spl)m8-HLH,-0.0002508367,0.0002508367,0.02916565754786629,1.5351282278336307
16666,sc,E(spl)m8-HLH,0.008975244,0.008975244,4.1528471243877134e-13,12.381654055949323
16667,ac,E(spl)malpha-BFM,-0.018526636,0.018526636,0.06061606986053004,1.2174122252302986
16668,retn,E(spl)malpha-BFM,-0.013134448,0.013134448,4.477677779496302e-05,4.348947162124047
16669,Awh,E(spl)malpha-BFM,0.08240764,0.08240764,1.515774504581872e-10,9.819365402067982
