"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ND-B14.5B",648.857241188708,-0.313892372797842,0.447906849443773,-0.700798331589805,0.483428879421928,0.904120052790541
"Mad",553.66802855468,1.20601174367943,0.500862000344788,2.40787231382941,0.0160457918925373,0.241058595574759
"gkt",52.4077467462838,2.27753644659297,1.61563251104176,1.40968718506687,0.15863207033595,0.629192034329439
"Hydr2",955.52130276021,0.529318203857957,0.557743910476845,0.949034483236966,0.342603074162757,0.824955525267635
"CG44002",89.5254443338675,-2.07075037534097,1.71506388044154,-1.20738964825489,0.227282120254508,0.715913744442165
"CG31698",15.2039417261633,7.85218823960198,3.87551606848495,2.02610132453189,0.0427544024048867,0.421911776848836
"CG15404",5.27478414957157,-0.417726396198763,3.77274561643937,-0.110722120881557,0.911836703907273,0.982676107922704
"CG9664",36.8916164997913,9.17101485269797,3.0928944490652,2.96518843553482,0.00302497580114211,0.0856013152163196
"CG9663",9.06973151788971,7.10746419457872,3.87883507527437,1.83237081666226,0.0668961929046387,0.503715140244959
"Fign",14.0700402868026,-3.65942269210656,3.80239967062646,-0.962398224567395,NA,NA
"E23",123.500069668523,-0.875911539559859,1.06066710933487,-0.825811917661076,0.408910792554665,0.871581426365489
"GramD1B",150.70804606181,0.349083295460322,1.42429654754491,0.245091723392888,0.806385411299901,0.976005701866776
"CG15412",12.7636678397568,2.652873781973,3.75553076653104,0.706391172618044,0.479944908914764,0.902271987948474
"CG9662",747.763292459792,-0.420719979923364,0.312503621304898,-1.34628833472903,0.178209546415841,0.649916976666142
"Ptpa",491.203595540144,-0.791729524560007,0.599273825916316,-1.32114818021531,0.186451960807731,0.663790730031188
"CG42460",16.4071263407613,-0.248923044326517,3.17573295629423,-0.0783828639726013,0.937523504158195,0.987602711670954
"Pgant2",82.6279233486595,-0.732576384077343,1.56390297931565,-0.468428280888571,0.639478347699577,0.952069436737348
"CG8840",16.0014555981054,-20.9587677740538,3.90924156811937,-5.36133861488035,NA,NA
"Snx1",535.466629111959,0.324814675477812,1.10324515546648,0.294417495393826,0.768438899653439,0.976005701866776
"CG12795",787.693760391153,0.570853430097939,0.477535727619793,1.19541512201249,0.231924880319707,0.723962863476918
"Cog3",296.919997305016,0.451827038468986,1.42140827893195,0.317872806262596,0.750581421014736,0.975292138643626
"Sec5",154.403839776683,0.0164952365875873,1.57745743763471,0.0104568504950098,NA,NA
"msl-2",86.910521571814,1.68539954887428,1.73460144461525,0.971635042796888,0.331232142680445,0.816107462055986
"ND-PDSW",2075.83653959594,-0.578395248930619,0.216354514323168,-2.67336806324582,0.00750938087061346,0.151787018013283
"Pif1",237.513629937748,0.60285153849532,1.16100040449071,0.519251790234967,0.603585167508606,0.938413934957968
"lncRNA:CR43928",5.56748670830179,0.931509412030216,2.36286041504434,0.394229555880361,0.693411566526175,0.963334373134322
"Thor",137.310662180126,0.779110861350576,1.74292954851362,0.447012251307006,0.654866214171335,0.955211612856546
"tim",2.34347830261718,-1.14053560278243,3.85389275940912,-0.295943783074363,0.767273013798807,0.976005701866776
"lncRNA:CR45299",1.03905555831853,-2.85711962279417,3.94287944704401,-0.724627689273168,0.468680467293253,0.89778595907002
"CG31954",4508.83311014683,-1.54659474886577,0.522694605343201,-2.95888791094424,0.00308751381618574,0.0865662301528363
"LeuRS",626.869205681227,2.76090324163624,1.01350695702014,2.7241088208745,0.0064475258535444,0.138603995006305
"CG17593",724.071713506643,-0.430055558237158,0.448815873539558,-0.958200419351374,0.337961705817962,0.820644043907708
"Spindly",64.4684240728928,-0.780945987375294,1.8259630067597,-0.427689928264832,0.668876883588546,0.956838218398173
"drm",13.4233362121461,2.18389729504964,3.68985304566462,0.591865656442769,0.553940553041802,0.924177457537268
"sob",3.49829150935556,5.72908243941186,3.89195822640065,1.47203081486057,0.14101255650438,0.608728032056866
"odd",0.226703030905861,-0.924384170081781,4.01543818125048,-0.2302075460651,0.817930498408245,0.976005701866776
"Ugt36A1",52.9159392930977,1.52112524885166,2.42257084281009,0.627897117380977,0.530071339492318,0.920807094884261
"CG15418",2.58455147458699,4.80398768505382,3.89114755427669,1.23459406718562,0.216981618130407,0.706211188745641
"for",167.283811145941,1.22921541639262,0.876838481345968,1.40187211503965,0.16095343874625,0.632885954759755
"Drgx",10.8628535642392,-6.19804436841619,3.91040600106893,-1.58501300548381,NA,NA
"CG16704",20.1825699220832,0.0946765813430415,2.99684214877348,0.03159211484722,0.974797331693092,0.99432337569719
"CG3513",4.71633812503616,3.74024736264746,3.84767260551258,0.972080461650712,0.331010521399005,0.816107462055986
"CG16713",1.99918056166095,4.94023926053624,3.90738689981785,1.26433327110928,0.206110432516648,0.688095832623147
"CG3604",31.771361645662,0.140408954212525,1.88649865880665,0.0744283350306456,0.940669563230562,0.987980358983178
"CG2816",89.7477173601978,-0.274776191020161,0.885817079537454,-0.3101951829193,0.756412533467409,0.976005701866776
"CG31778",232.165704402025,-1.52643457035968,1.44764374834366,-1.05442694178466,0.291687492794141,0.781381090851637
"CG31777",98.2860192449844,1.79587371105718,1.59323465709537,1.12718719936161,0.259663341429999,0.751468993309131
"cutlet",21.4045414773846,0.847425629006689,3.11973446948461,0.27163389618434,0.785903533676652,0.976005701866776
"CG31955",974.716595255503,0.175572198603796,0.327973627867997,0.535324134885811,0.592425740075927,0.936379898325035
"CG2818",290.122088227035,1.16493002567925,1.0979148779552,1.06103856416343,0.288672375773614,0.776903851251197
"bowl",399.594490383154,0.971224989196484,0.926501675472936,1.04827116335296,0.294513691574375,0.784757933850064
"bark",539.667195622624,-0.303196056821282,0.679416847875195,-0.446259255668292,0.655409984145703,0.955211612856546
"Reph",44.0977985144404,1.11165404007536,1.9486931351811,0.570461310714297,0.568364855877705,0.930137260455273
"CG3407",111.786095910205,-0.205701329419304,1.04252192574325,-0.19731127407479,0.843583957335671,0.976005701866776
"TTLL4B",13.0943582053281,7.63724926380155,3.87630567479284,1.97023916701556,0.048810966664657,0.442712054294127
"Cep97",152.069463203853,4.83453900006771,0.965523247822783,5.00716995781241,5.52361511747458e-07,9.99645880097377e-05
"CG31957",234.136148153243,-0.900103417808056,0.799307200600341,-1.12610447789287,0.26012129887579,0.751955404105274
"capu",26.630497394518,-0.88620006933109,2.78569317899747,-0.318125512175042,0.750389732195602,0.975292138643626
"CG15422",7.26834459121848,-0.511698773992884,3.76015395775962,-0.136084527320196,NA,NA
"CG15423",4.47783508985921,6.08628581887089,3.88728900550403,1.56568904711054,0.117421431686284,0.589995917492343
"CG43774",1.67491212629738,3.41508430359601,3.89943912159635,0.875788593462626,0.381144972166319,0.85548539845645
"ed",1164.61288312895,0.0066953766520549,0.44319773517217,0.015106973977324,0.987946837168254,0.996914196945456
"TBCC",644.500782269664,-0.138586034834187,0.491144743960823,-0.282169434852472,0.777813593889813,0.976005701866776
"lectin-24Db",46.5562372606181,-0.545034833585608,2.46637064747619,-0.220986587779633,0.825102876228768,0.976005701866776
"Naprt",481.386827161129,-0.532407155929114,0.725894803418404,-0.733449465985825,0.463284338559043,0.895012208051665
"ft",589.598593864466,-0.0359973680972812,0.483172064073793,-0.0745021717393484,0.940610813173401,0.987980358983178
"CG3702",1870.11531290046,-0.100932176889015,0.360498086222131,-0.279979785598148,0.77949301367578,0.976005701866776
